# ::snt dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::tok dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::alignments 25-26|0.0.1.0.1 23-24|0.0.1.0.0+0.0.1.0 21-22|0.0.1 20-21|0.3.0.0 17-18|0.3.0 16-17|0.3 11-12|0.1 9-10|0.1.0 6-7|0.0.0+0.0 5-6|0.0.3 4-5|0.0.2 3-4|0 2-3|0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:38.327
# ::node	0	accuse-01	3-4
# ::node	0.0	person	6-7
# ::node	0.0.0	serve-02	6-7
# ::node	0.0.1	arrest-01	21-22
# ::node	0.0.1.0	have-org-role-91	23-24
# ::node	0.0.1.0.0	official	23-24
# ::node	0.0.1.0.1	north	25-26
# ::node	0.0.2	senior	4-5
# ::node	0.0.3	civil	5-6
# ::node	0.1	plot-01	11-12
# ::node	0.1.0	north	9-10
# ::node	0.2	also	2-3
# ::node	0.3	and	16-17
# ::node	0.3.0	encourage-01	17-18
# ::node	0.3.0.0	and	20-21
# ::root	0	accuse-01
# ::edge	accuse-01	ARG1	person	0	0.0	
# ::edge	accuse-01	ARG2	plot-01	0	0.1	
# ::edge	accuse-01	mod	also	0	0.2	
# ::edge	and	op1	accuse-01	0.3	0	
# ::edge	arrest-01	ARG1	person	0.0.1	0.0	
# ::edge	arrest-01	time	have-org-role-91	0.0.1	0.0.1.0	
# ::edge	encourage-01	ARG1	and	0.3.0	0.3.0.0	
# ::edge	encourage-01	ARG2	and	0.3.0	0.3	
# ::edge	have-org-role-91	ARG2	official	0.0.1.0	0.0.1.0.0	
# ::edge	have-org-role-91	location	north	0.0.1.0	0.0.1.0.1	
# ::edge	person	mod	civil	0.0	0.0.3	
# ::edge	person	mod	senior	0.0	0.0.2	
# ::edge	plot-01	ARG0	north	0.1	0.1.0	
# ::edge	serve-02	ARG0	person	0.0.0	0.0	
(a4 / accuse-01 
# ::snt executives of the ford motor company have been subpoenaed to appear before the tribunal next month to be questioned about fords alleged subscription to the league in connection with the sacking of an employee who worked at the dagenham plant in essex
# ::tok executives of the ford motor company have been subpoenaed to appear before the tribunal next month to be questioned about fords alleged subscription to the league in connection with the sacking of an employee who worked at the dagenham plant in essex
# ::alignments 39-40|0.0.0.0.0.0 35-36|0.0.0.0.0 33-34|0.0.0.0.1+0.0.0.0 27-28|0 25-26|0.1 21-22|0.0.0.2 18-19|0.0.0.1.0 15-16|0.0.0.1.0.0.0+0.0.0.1.0.0 14-15|0.0.0.1.0.0.0.0 13-14|0.0.0.1.1.0 11-12|0.0.0.1.1 10-11|0.0.0.1 3-6|0.0.1.0+0.0.1.1+0.0.1.2+0.0.1+0.0 0-1|0.0.0.3+0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:59.405
# ::node	0	connect-01	27-28
# ::node	0.0	organization	3-6
# ::node	0.0.0	have-org-role-91	0-1
# ::node	0.0.0.0	person	33-34
# ::node	0.0.0.0.0	work-01	35-36
# ::node	0.0.0.0.0.0	plant	39-40
# ::node	0.0.0.0.1	employ-01	33-34
# ::node	0.0.0.1	appear-02	10-11
# ::node	0.0.0.1.0	question-01	18-19
# ::node	0.0.0.1.0.0	temporal-quantity	15-16
# ::node	0.0.0.1.0.0.0	month	15-16
# ::node	0.0.0.1.0.0.0.0	next	14-15
# ::node	0.0.0.1.1	before	11-12
# ::node	0.0.0.1.1.0	tribunal	13-14
# ::node	0.0.0.2	allege-01	21-22
# ::node	0.0.0.3	executive	0-1
# ::node	0.0.1	name	3-6
# ::node	0.0.1.0	"company"	3-6
# ::node	0.0.1.1	"motor"	3-6
# ::node	0.0.1.2	"ford"	3-6
# ::node	0.1	league	25-26
# ::root	0	connect-01
# ::edge	allege-01	ARG1	have-org-role-91	0.0.0.2	0.0.0	
# ::edge	appear-02	ARG1	have-org-role-91	0.0.0.1	0.0.0	
# ::edge	appear-02	ARG2	question-01	0.0.0.1	0.0.0.1.0	
# ::edge	appear-02	time	before	0.0.0.1	0.0.0.1.1	
# ::edge	before	op1	tribunal	0.0.0.1.1	0.0.0.1.1.0	
# ::edge	connect-01	ARG1	organization	0	0.0	
# ::edge	employ-01	ARG1	person	0.0.0.0.1	0.0.0.0	
# ::edge	have-org-role-91	ARG0	person	0.0.0	0.0.0.0	
# ::edge	have-org-role-91	ARG1	organization	0.0.0	0.0	
# ::edge	have-org-role-91	ARG2	executive	0.0.0	0.0.0.3	
# ::edge	league	topic	connect-01	0.1	0	
# ::edge	month	mod	next	0.0.0.1.0.0.0	0.0.0.1.0.0.0.0	
# ::edge	name	op1	"company"	0.0.1	0.0.1.0	
# ::edge	name	op2	"motor"	0.0.1	0.0.1.1	
# ::edge	name	op3	"ford"	0.0.1	0.0.1.2	
# ::edge	organization	name	name	0.0	0.0.1	
# ::edge	question-01	duration	temporal-quantity	0.0.0.1.0	0.0.0.1.0.0	
# ::edge	temporal-quantity	unit	month	0.0.0.1.0.0	0.0.0.1.0.0.0	
# ::edge	work-01	ARG0	person	0.0.0.0.0	0.0.0.0	
# ::edge	work-01	ARG1	plant	0.0.0.0.0	0.0.0.0.0.0	
(c / connect-01 
      :ARG1 (o / organization 
            :ARG1-of (h / have-org-role-91 
                  :ARG0 (p2 / person 
                        :ARG0-of (w / work-01 
                              :ARG1 (p / plant)) 
                        :ARG1-of (e / employ-01)) 
                  :ARG1-of (a2 / appear-02 
                        :ARG2 (q / question-01 
                              :duration (t / temporal-quantity 
                                    :unit (m / month 
                                          :mod (n / next)))) 
                        :time (b / before 
                              :op1 (t2 / tribunal))) 
                  :ARG1-of (a / allege-01) 
                  :ARG2 (e2 / executive)) 
            :name (n2 / name 
                  :op1 "company" 
                  :op2 "motor" 
                  :op3 "ford")) 
      :topic-of (l / league))

# ::snt for it was the lord who sent the sheikh sacks of wheat and grain and seed even money when necessary and who leased out land to other members of the family
# ::tok for it was the lord who sent the sheikh sacks of wheat and grain and seed even money when necessary and who leased out land to other members of the family
# ::alignments 30-31|0.1.0.0.0.1 27-28|0.1.0.0.0.1.0.0+0.1.0.0.0.1.0 26-27|0.2.0.2 24-25|0.2.0.1 22-23|0.2.0 20-21|0.2 17-18|0.2.0.0 15-16|0.1 14-15|0.1.0 13-14|0.0 12-13|0 11-12|0.1.0.0 6-7|0.1.0.0.0 4-5|0.1.0.0.0.0 1-2|0.1.0.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:59.696
# ::node	0	and	12-13
# ::node	0.0	grain	13-14
# ::node	0.1	seed	15-16
# ::node	0.1.0	and	14-15
# ::node	0.1.0.0	wheat	11-12
# ::node	0.1.0.0.0	send-01	6-7
# ::node	0.1.0.0.0.0	lord	4-5
# ::node	0.1.0.0.0.0.0	it	1-2
# ::node	0.1.0.0.0.1	family	30-31
# ::node	0.1.0.0.0.1.0	have-org-role-91	27-28
# ::node	0.1.0.0.0.1.0.0	member	27-28
# ::node	0.2	and	20-21
# ::node	0.2.0	lease-01	22-23
# ::node	0.2.0.0	money	17-18
# ::node	0.2.0.1	land	24-25
# ::node	0.2.0.2	other	26-27
# ::root	0	and
# ::edge	and	op1	grain	0	0.0	
# ::edge	and	op1	lease-01	0.2	0.2.0	
# ::edge	and	op1	wheat	0.1.0	0.1.0.0	
# ::edge	and	op2	seed	0	0.1	
# ::edge	and	op2	seed	0.1.0	0.1	
# ::edge	and	op3	and	0	0.2	
# ::edge	have-org-role-91	ARG1	family	0.1.0.0.0.1.0	0.1.0.0.0.1	
# ::edge	have-org-role-91	ARG2	member	0.1.0.0.0.1.0	0.1.0.0.0.1.0.0	
# ::edge	lease-01	ARG0	money	0.2.0	0.2.0.0	
# ::edge	lease-01	ARG1	land	0.2.0	0.2.0.1	
# ::edge	lease-01	ARG2	other	0.2.0	0.2.0.2	
# ::edge	lord	domain	it	0.1.0.0.0.0	0.1.0.0.0.0.0	
# ::edge	send-01	ARG0	lord	0.1.0.0.0	0.1.0.0.0.0	
# ::edge	send-01	ARG1	wheat	0.1.0.0.0	0.1.0.0	
# ::edge	send-01	purpose	family	0.1.0.0.0	0.1.0.0.0.1	
(a3 / and 
      :op1 (g / grain) 
      :op2 (s / seed 
            :op-of (a2 / and 
                  :op1 (w / wheat 
                        :ARG1-of (s2 / send-01 
                              :ARG0 (l3 / lord 
                                    :domain (i / it)) 
                              :purpose (f / family 
                                    :ARG1-of (h / have-org-role-91 
                                          :ARG2 (m / member))))))) 
      :op3 (a / and 
            :op1 (l2 / lease-01 
                  :ARG0 (m2 / money) 
                  :ARG1 (l / land) 
                  :ARG2 (o / other))))

# ::snt it was absolutely freezing and by the time we got the fish to the deeper water the carp sacks were frozen added ian who also broke two landing nets during the rescue
# ::tok it was absolutely freezing and by the time we got the fish to the deeper water the carp sacks were frozen added ian who also broke two landing nets during the rescue
# ::alignments 31-32|0.0.2.1.1 27-28|0.0.2.1 26-27|0.0.2.1.2 24-25|0.0.2.1.0 21-22|0 20-21|0.0 15-16|0.0.1 14-15|0.0.1.0 11-12|0.0.0 8-9|0.0.0.0 7-8|0.0.2.0.0 4-5|0.0.2 3-4|0.0.2.0 2-3|0.0.2.0.2 0-1|0.0.2.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:59.941
# ::node	0	add-01	21-22
# ::node	0.0	freeze-02	20-21
# ::node	0.0.0	fish	11-12
# ::node	0.0.0.0	we	8-9
# ::node	0.0.1	water	15-16
# ::node	0.0.1.0	deep	14-15
# ::node	0.0.2	and	4-5
# ::node	0.0.2.0	freeze-02	3-4
# ::node	0.0.2.0.0	time	7-8
# ::node	0.0.2.0.1	it	0-1
# ::node	0.0.2.0.2	absolute	2-3
# ::node	0.0.2.1	land-01	27-28
# ::node	0.0.2.1.0	also	24-25
# ::node	0.0.2.1.1	rescue-01	31-32
# ::node	0.0.2.1.2	2	26-27
# ::root	0	add-01
(a2 / add-01 
      :ARG2-of (f / freeze-02 
            :ARG0 (f2 / fish 
                  :ARG0 (w2 / we)) 
            :ARG1 (w / water 
                  :mod (d / deep)) 
            :op-of (a3 / and 
                  :op1 (f3 / freeze-02 
                        :ARG0 (t / time) 
                        :ARG1 (i / it) 
                        :degree (a4 / absolute)) 
                  :op2 (l / land-01 
                        :ARG0 (a / also) 
                        :ARG1 (r / rescue-01) 
                        :quant 2))))

# ::snt include the ink sacks in the cooking
# ::tok include the ink sacks in the cooking
# ::alignments 6-7|0.0 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:59.946
# ::node	0	include-01	0-1
# ::node	0.0	cook-01	6-7
# ::root	0	include-01
# ::edge	include-01	ARG2	cook-01	0	0.0	
(i / include-01 
      :ARG2 (c / cook-01))

