# ::snt labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::tok labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::alignments 40-41|0.1.0.3.1 39-40|0.1.0.3.1.0 36-37|0.1.0.3 35-36|0.1.0.3.2 32-33|0.1.0.3.0 30-31|0.1.0.0.0.0 29-30|0.1.0.0.0 28-29|0.1.0.0.1.0 25-26|0.1.0.0.1 23-24|0.1.1 22-23|0 20-21|0.1 19-20|0.1.0.1 18-19|0.1.0 17-18|0.1.0.0.2 15-16|0.1.0.0 11-12|0.1.0.2 9-10|0.1.0.2.0 8-9|0.0.2.0 7-8|0.0.2 3-4|0.0.1.0 2-3|0.0.1 1-2|0.0 0-1|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:01.262
# ::node	0	and	22-23
# ::node	0.0	and	1-2
# ::node	0.0.0	labour	0-1
# ::node	0.0.1	liberal	2-3
# ::node	0.0.1.0	county	3-4
# ::node	0.0.2	spend-01	7-8
# ::node	0.0.2.0	level	8-9
# ::node	0.1	or	20-21
# ::node	0.1.0	consider-01	18-19
# ::node	0.1.0.0	department	15-16
# ::node	0.1.0.0.0	propose-01	29-30
# ::node	0.1.0.0.0.0	year	30-31
# ::node	0.1.0.0.1	exceed-01	25-26
# ::node	0.1.0.0.1.0	budget	28-29
# ::node	0.1.0.0.2	environment	17-18
# ::node	0.1.0.1	reasonable	19-20
# ::node	0.1.0.2	exceed-01	11-12
# ::node	0.1.0.2.0	far	9-10
# ::node	0.1.0.3	group	36-37
# ::node	0.1.0.3.0	year	32-33
# ::node	0.1.0.3.1	council	40-41
# ::node	0.1.0.3.1.0	county	39-40
# ::node	0.1.0.3.2	conservative	35-36
# ::node	0.1.1	far	23-24
# ::root	0	and
(a / and 
# ::alignments 34-35|0.1.1.0.1.0 32-33|0.1.1.0.1 31-32|0.1.1.0 29-30|0.1.1.0.0.0 26-27|0.1.1.0.0 24-25|0.1.1.0.0.1 23-24|0.1.1.1 21-22|0.1.1 20-21|0.1 19-20|0.1.2 18-19|0 17-18|0.0.0 16-17|0.0.0.0 13-14|0.0.1+0.0 12-13|0.0.0.0.0 10-11|0.1.1.0.2 8-9|0.1.0.0+0.1.0 6-7|0.1.0.1 4-5|0.1.0.1.0 1-2|0.1.0.1.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:49.552
# ::node	0	contrast-01	18-19
# ::node	0.0	area-quantity	13-14
# ::node	0.0.0	crop	17-18
# ::node	0.0.0.0	relevant-41	16-17
# ::node	0.0.0.0.0	1	12-13
# ::node	0.0.1	hectare	13-14
# ::node	0.1	achieve-01	20-21
# ::node	0.1.0	person	8-9
# ::node	0.1.0.0	farm-01	8-9
# ::node	0.1.0.1	majority	6-7
# ::node	0.1.0.1.0	case	4-5
# ::node	0.1.0.1.0.0	each	1-2
# ::node	0.1.1	level	21-22
# ::node	0.1.1.0	remain-01	31-32
# ::node	0.1.1.0.0	exceed-01	26-27
# ::node	0.1.1.0.0.0	neighbour	29-30
# ::node	0.1.1.0.0.1	well	24-25
# ::node	0.1.1.0.1	outside	32-33
# ::node	0.1.1.0.1.0	project	34-35
# ::node	0.1.1.0.2	less	10-11
# ::node	0.1.1.1	income	23-24
# ::node	0.1.2	most	19-20
# ::root	0	contrast-01
# ::edge	achieve-01	ARG0	person	0.1	0.1.0	
# ::edge	achieve-01	ARG1	level	0.1	0.1.1	
# ::edge	achieve-01	degree	most	0.1	0.1.2	
# ::edge	area-quantity	topic	crop	0.0	0.0.0	
# ::edge	area-quantity	unit	hectare	0.0	0.0.1	
# ::edge	case	mod	each	0.1.0.1.0	0.1.0.1.0.0	
# ::edge	contrast-01	ARG1	area-quantity	0	0.0	
# ::edge	contrast-01	ARG2	achieve-01	0	0.1	
# ::edge	exceed-01	ARG1	neighbour	0.1.1.0.0	0.1.1.0.0.0	
# ::edge	exceed-01	time	well	0.1.1.0.0	0.1.1.0.0.1	
# ::edge	farm-01	ARG0	person	0.1.0.0	0.1.0	
# ::edge	income	mod	level	0.1.1.1	0.1.1	
# ::edge	less	op1	remain-01	0.1.1.0.2	0.1.1.0	
# ::edge	majority	poss	case	0.1.0.1	0.1.0.1.0	
# ::edge	outside	op1	project	0.1.1.0.1	0.1.1.0.1.0	
# ::edge	person	quant	majority	0.1.0	0.1.0.1	
# ::edge	relevant-41	ARG0	1	0.0.0.0	0.0.0.0.0	
# ::edge	relevant-41	ARG1	crop	0.0.0.0	0.0.0	
# ::edge	remain-01	ARG0	level	0.1.1.0	0.1.1	
# ::edge	remain-01	ARG1	exceed-01	0.1.1.0	0.1.1.0.0	
# ::edge	remain-01	location	outside	0.1.1.0	0.1.1.0.1	
(c / contrast-01 
      :ARG1 (a2 / area-quantity 
            :topic (c2 / crop 
                  :ARG1-of (r2 / relevant-41 
                        :ARG0 1)) 
            :unit (h / hectare)) 
      :ARG2 (a / achieve-01 
            :ARG0 (p2 / person 
                  :ARG0-of (f / farm-01) 
                  :quant (m2 / majority 
                        :poss (c3 / case 
                              :mod (e2 / each)))) 
            :ARG1 (l / level 
                  :ARG0-of (r / remain-01 
                        :ARG1 (e / exceed-01 
                              :ARG1 (n / neighbour) 
                              :time (w / well)) 
                        :location (o / outside 
                              :op1 (p / project)) 
                        :op-of (l2 / less)) 
                  :mod-of (i / income)) 
            :degree (m / most)))

# ::snt uncle fred and aunt ada deeply ashamed at what their excesses had produced had incarcerated her like mrs rochester in a cell albeit disguised as a wendy house
# ::tok uncle fred and aunt ada deeply ashamed at what their excesses had produced had incarcerated her like mrs rochester in a cell albeit disguised as a wendy house
# ::alignments 27-28|0.3.0.0 23-24|0.3.0 21-22|0.3 14-15|0 12-13|0.2 5-6|0.1 2-3|0.0 0-1|0.0.0.0+0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:49.604
# ::node	0	incarcerate-01	14-15
# ::node	0.0	and	2-3
# ::node	0.0.0	have-rel-role-91	0-1
# ::node	0.0.0.0	uncle	0-1
# ::node	0.1	deep	5-6
# ::node	0.2	produce-01	12-13
# ::node	0.3	cell	21-22
# ::node	0.3.0	disguise-01	23-24
# ::node	0.3.0.0	house	27-28
# ::root	0	incarcerate-01
# ::edge	disguise-01	ARG1	cell	0.3.0	0.3	
# ::edge	disguise-01	ARG2	house	0.3.0	0.3.0.0	
# ::edge	have-rel-role-91	ARG1	and	0.0.0	0.0	
# ::edge	have-rel-role-91	ARG2	uncle	0.0.0	0.0.0.0	
# ::edge	incarcerate-01	ARG0	and	0	0.0	
# ::edge	incarcerate-01	ARG1	deep	0	0.1	
# ::edge	incarcerate-01	ARG2	cell	0	0.3	
# ::edge	produce-01	ARG1	incarcerate-01	0.2	0	
(i / incarcerate-01 
      :ARG0 (a / and 
            :ARG1-of (h2 / have-rel-role-91 
                  :ARG2 (u / uncle))) 
      :ARG1 (d2 / deep) 
      :ARG1-of (p / produce-01) 
      :ARG2 (c / cell 
            :ARG1-of (d / disguise-01 
                  :ARG2 (h / house))))

# ::snt he really believed that line of blakes the path of excess leads to the tower of wisdom something like that
# ::tok he really believed that line of blakes the path of excess leads to the tower of wisdom something like that
# ::alignments 17-18|0.1 16-17|0 14-15|0.0.1 11-12|0.0 10-11|0.0.0.0 8-9|0.0.0 4-5|0.0.2.1 2-3|0.0.2 1-2|0.0.2.2 0-1|0.0.2.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:49.713
# ::node	0	wisdom	16-17
# ::node	0.0	lead-03	11-12
# ::node	0.0.0	path	8-9
# ::node	0.0.0.0	exceed-01	10-11
# ::node	0.0.1	tower	14-15
# ::node	0.0.2	believe-01	2-3
# ::node	0.0.2.0	he	0-1
# ::node	0.0.2.1	line	4-5
# ::node	0.0.2.2	really	1-2
# ::node	0.1	something	17-18
# ::root	0	wisdom
(w / wisdom 
      :ARG2-of (l / lead-03 
            :ARG0 (p / path 
                  :mod (e / exceed-01)) 
            :ARG1 (t / tower) 
            :condition-of (b / believe-01 
                  :ARG0 (h / he) 
                  :ARG1 (l2 / line) 
                  :mod (r / really))) 
      :mod-of (s / something))

# ::snt the cost of modern ventilators which are required to help the patients breathing is in excess of 10000 each
# ::tok the cost of modern ventilators which are required to help the patients breathing is in excess of 10000 each
# ::alignments 18-19|0.0.0.0.2.0 17-18|0.0.0.0.2.0.0 15-16|0.0.0.0.2 12-13|0.0.0 11-12|0+0.0 9-10|0.0.0.0 7-8|0.0.0.0.0 3-4|0.0.0.0.1.0 1-2|0.0.0.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:49.882
# ::node	0	patient	11-12
# ::node	0.0	have-rel-role-91	11-12
# ::node	0.0.0	breathe-01	12-13
# ::node	0.0.0.0	help-01	9-10
# ::node	0.0.0.0.0	require-01	7-8
# ::node	0.0.0.0.1	cost-01	1-2
# ::node	0.0.0.0.1.0	modern	3-4
# ::node	0.0.0.0.2	exceed-01	15-16
# ::node	0.0.0.0.2.0	each	18-19
# ::node	0.0.0.0.2.0.0	10000	17-18
# ::root	0	patient
(p / patient 
      :ARG2-of (h / have-rel-role-91 
            :ARG1-of (b / breathe-01 
                  :ARG1-of (h2 / help-01 
                        :ARG1-of (r / require-01) 
                        :ARG2 (c / cost-01 
                              :ARG2 (m / modern)) 
                        :manner (e2 / exceed-01 
                              :ARG1 (e / each 
                                    :mod 10000))))))

# ::snt the surrey bowlers were no doubt scoring themselves pretty high on the deprivation scale yesterday morning when that dedicated follower of fashion ian greig invited the home side to take first strike on a wicket that had yielded three totals in excess of 450 in the last week
# ::tok the surrey bowlers were no doubt scoring themselves pretty high on the deprivation scale yesterday morning when that dedicated follower of fashion ian greig invited the home side to take first strike on a wicket that had yielded three totals in excess of 450 in the last week
# ::alignments 47-48|0.1.0 46-47|0.1.0.0 43-44|0.1.1.1 41-42|0.1 39-40|0.1.1 38-39|0.1.1.0 37-38|0 31-32|0.0 27-28|0.0.0.1 26-27|0.0.0.1.0 24-25|0.0.0 21-22|0.0.0.0 19-20|0.0.0.2 18-19|0.0.0.2.0 15-16|0.0.0.2.0.1.1 14-15|0.0.0.2.0.0.0 13-14|0.0.0.2.0.0 9-10|0.0.0.2.0.1 8-9|0.0.0.2.0.1.0 5-6|0.0.0.1.0.0 4-5|0.0.0.1.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:50.475
# ::node	0	yield-01	37-38
# ::node	0.0	strike-01	31-32
# ::node	0.0.0	invite-01	24-25
# ::node	0.0.0.0	fashion	21-22
# ::node	0.0.0.1	side	27-28
# ::node	0.0.0.1.0	home	26-27
# ::node	0.0.0.1.0.0	doubt-01	5-6
# ::node	0.0.0.1.0.0.0	-	4-5
# ::node	0.0.0.2	follow-02	19-20
# ::node	0.0.0.2.0	dedicate-01	18-19
# ::node	0.0.0.2.0.0	scale	13-14
# ::node	0.0.0.2.0.0.0	yesterday	14-15
# ::node	0.0.0.2.0.1	high	9-10
# ::node	0.0.0.2.0.1.0	pretty	8-9
# ::node	0.0.0.2.0.1.1	morning	15-16
# ::node	0.1	exceed-01	41-42
# ::node	0.1.0	week	47-48
# ::node	0.1.0.0	last	46-47
# ::node	0.1.1	total-01	39-40
# ::node	0.1.1.0	3	38-39
# ::node	0.1.1.1	450	43-44
# ::root	0	yield-01
# ::edge	dedicate-01	ARG0	scale	0.0.0.2.0	0.0.0.2.0.0	
# ::edge	dedicate-01	ARG1	follow-02	0.0.0.2.0	0.0.0.2	
# ::edge	dedicate-01	ARG4	high	0.0.0.2.0	0.0.0.2.0.1	
# ::edge	doubt-01	ARG1	home	0.0.0.1.0.0	0.0.0.1.0	
# ::edge	doubt-01	polarity	-	0.0.0.1.0.0	0.0.0.1.0.0.0	
# ::edge	exceed-01	ARG1	week	0.1	0.1.0	
# ::edge	follow-02	ARG1	invite-01	0.0.0.2	0.0.0	
# ::edge	high	degree	pretty	0.0.0.2.0.1	0.0.0.2.0.1.0	
# ::edge	high	location	morning	0.0.0.2.0.1	0.0.0.2.0.1.1	
# ::edge	invite-01	ARG0	fashion	0.0.0	0.0.0.0	
# ::edge	invite-01	ARG1	side	0.0.0	0.0.0.1	
# ::edge	invite-01	ARG2	strike-01	0.0.0	0.0	
# ::edge	side	mod	home	0.0.0.1	0.0.0.1.0	
# ::edge	total-01	ARG1	exceed-01	0.1.1	0.1	
# ::edge	total-01	quant	3	0.1.1	0.1.1.0	
# ::edge	total-01	time	450	0.1.1	0.1.1.1	
# ::edge	week	mod	last	0.1.0	0.1.0.0	
# ::edge	yesterday	mod	scale	0.0.0.2.0.0.0	0.0.0.2.0.0	
# ::edge	yield-01	ARG0	strike-01	0	0.0	
# ::edge	yield-01	ARG1	exceed-01	0	0.1	
(y / yield-01 
      :ARG0 (s / strike-01 
            :ARG2-of (i / invite-01 
                  :ARG0 (f / fashion) 
                  :ARG1 (s2 / side 
                        :mod (h / home 
                              :ARG1-of (d2 / doubt-01 
                                    :polarity (- / -)))) 
                  :ARG1-of (f2 / follow-02 
                        :ARG1-of (d / dedicate-01 
                              :ARG0 (s3 / scale 
                                    :mod-of (y2 / yesterday)) 
                              :ARG4 (h2 / high 
                                    :degree (p / pretty) 
                                    :location (m / morning)))))) 
      :ARG1 (e / exceed-01 
            :ARG1 (w / week 
                  :mod (l / last)) 
            :ARG1-of (t / total-01 
                  :quant 3 
                  :time 450)))

# ::snt in such circumstances mr livingstone for all his excesses may be a better bet than ms spray dash
# ::tok in such circumstances mr livingstone for all his excesses may be a better bet than ms spray dash
# ::alignments 16-17|0 13-14|0.0 9-10|0.0.2.0+0.0.2 6-7|0.0.1 2-3|0.0.0 1-2|0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:50.507
# ::node	0	spray-01	16-17
# ::node	0.0	bet-01	13-14
# ::node	0.0.0	circumstance	2-3
# ::node	0.0.0.0	such	1-2
# ::node	0.0.1	all	6-7
# ::node	0.0.2	date-entity	9-10
# ::node	0.0.2.0	5	9-10
# ::root	0	spray-01
# ::edge	bet-01	ARG0	circumstance	0.0	0.0.0	
# ::edge	bet-01	ARG1	all	0.0	0.0.1	
# ::edge	circumstance	mod	such	0.0.0	0.0.0.0	
# ::edge	date-entity	domain	bet-01	0.0.2	0.0	
# ::edge	date-entity	month	5	0.0.2	0.0.2.0	
# ::edge	spray-01	ARG0	bet-01	0	0.0	
(s / spray-01 
      :ARG0 (b / bet-01 
            :ARG0 (c / circumstance 
                  :mod (s2 / such)) 
            :ARG1 (a / all) 
            :domain-of (d / date-entity 
                  :month 5)))

# ::snt to date io excess of 250 local people have written to me supporting a trial opening of the sliproad and at last the county council seem to be opening their minds and listening to their concerns
# ::tok to date io excess of 250 local people have written to me supporting a trial opening of the sliproad and at last the county council seem to be opening their minds and listening to their concerns
# ::alignments 35-36|0.0.1.0 32-33|0.0.1 31-32|0.0 30-31|0.0.0.1 28-29|0.0.0 25-26|0 24-25|0.0.0.0 23-24|0.0.0.0.0 21-22|0.3 19-20|0.2.1.0 15-16|0.2 14-15|0.2.0 12-13|0.2.1 9-10|0.2.1.0.0 6-7|0.0.0.2 5-6|0.1.1 3-4|0.1 1-2|0.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:50.956
# ::node	0	seem-01	25-26
# ::node	0.0	and	31-32
# ::node	0.0.0	open-01	28-29
# ::node	0.0.0.0	council	24-25
# ::node	0.0.0.0.0	county	23-24
# ::node	0.0.0.1	mind	30-31
# ::node	0.0.0.2	local	6-7
# ::node	0.0.1	listen-01	32-33
# ::node	0.0.1.0	concern-01	35-36
# ::node	0.1	exceed-01	3-4
# ::node	0.1.0	date	1-2
# ::node	0.1.1	250	5-6
# ::node	0.2	open-01	15-16
# ::node	0.2.0	trial	14-15
# ::node	0.2.1	support-01	12-13
# ::node	0.2.1.0	and	19-20
# ::node	0.2.1.0.0	write-01	9-10
# ::node	0.3	last	21-22
# ::root	0	seem-01
# ::edge	and	op1	open-01	0.0	0.0.0	
# ::edge	and	op2	listen-01	0.0	0.0.1	
# ::edge	council	mod	county	0.0.0.0	0.0.0.0.0	
# ::edge	exceed-01	ARG1	date	0.1	0.1.0	
# ::edge	exceed-01	time	250	0.1	0.1.1	
# ::edge	last	domain	seem-01	0.3	0	
# ::edge	listen-01	ARG1	concern-01	0.0.1	0.0.1.0	
# ::edge	local	op1	open-01	0.0.0.2	0.0.0	
# ::edge	open-01	ARG0	council	0.0.0	0.0.0.0	
# ::edge	open-01	ARG1	mind	0.0.0	0.0.0.1	
# ::edge	open-01	ARG1	trial	0.2	0.2.0	
# ::edge	seem-01	ARG1	and	0	0.0	
# ::edge	seem-01	ARG2	exceed-01	0	0.1	
# ::edge	seem-01	condition	open-01	0	0.2	
# ::edge	support-01	ARG0	and	0.2.1	0.2.1.0	
# ::edge	support-01	ARG1	open-01	0.2.1	0.2	
# ::edge	write-01	ARG1	and	0.2.1.0.0	0.2.1.0	
(s / seem-01 
      :ARG1 (a / and 
            :op1 (o / open-01 
                  :ARG0 (c2 / council 
                        :mod (c3 / county)) 
                  :ARG1 (m / mind) 
                  :op-of (l3 / local)) 
            :op2 (l / listen-01 
                  :ARG1 (c / concern-01))) 
      :ARG2 (e / exceed-01 
            :ARG1 (d / date) 
            :time 250) 
      :condition (o2 / open-01 
            :ARG1 (t / trial) 
            :ARG1-of (s2 / support-01 
                  :ARG0 (a2 / and 
                        :ARG1-of (w / write-01)))) 
      :domain-of (l2 / last))

# ::snt what sanctions are there against an insurer turning down a settlement offer by the plaintiff within the insurance limits and thereby exposing his client the insured to personal liability on a later verdict in excess of those limits  the likelihood of abuse is of course controlled in the first instance by the strong incentive for insurers to settle whenever the likely recovery and the cost of trial exceed the policy limits, beyond that the conventional answer still adhered to in many statesfo id133 has been to make the insurer liable for the excess only on proof of malicious refusal to settle in violation of his implied covenant of good faith
# ::tok what sanctions are there against an insurer turning down a settlement offer by the plaintiff within the insurance limits and thereby exposing his client the insured to personal liability on a later verdict in excess of those limits the likelihood of abuse is of course controlled in the first instance by the strong incentive for insurers to settle whenever the likely recovery and the cost of trial exceed the policy limits , beyond that the conventional answer still adhered to in many statesfo id133 has been to make the insurer liable for the excess only on proof of malicious refusal to settle in violation of his implied covenant of good faith
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:50.960
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt in addition voluntary insurance of various kinds provides an option for the riskaverse and those needing excess coverage
# ::tok in addition voluntary insurance of various kinds provides an option for the riskaverse and those needing excess coverage
# ::alignments 17-18|0 16-17|0.1 13-14|0.2 9-10|0.2.0 7-8|0.2.0.0 6-7|0.2.0.0.1 5-6|0.0 3-4|0.2.0.0.0 2-3|0.2.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:51.088
# ::node	0	cover-03	17-18
# ::node	0.0	various	5-6
# ::node	0.1	exceed-01	16-17
# ::node	0.2	and	13-14
# ::node	0.2.0	option	9-10
# ::node	0.2.0.0	provide-01	7-8
# ::node	0.2.0.0.0	insure-02	3-4
# ::node	0.2.0.0.0.0	volunteer-01	2-3
# ::node	0.2.0.0.1	kind	6-7
# ::root	0	cover-03
# ::edge	and	op1	option	0.2	0.2.0	
# ::edge	and	op2	cover-03	0.2	0	
# ::edge	cover-03	ARG1	various	0	0.0	
# ::edge	exceed-01	ARG1	cover-03	0.1	0	
# ::edge	provide-01	ARG0	option	0.2.0.0	0.2.0	
# ::edge	provide-01	ARG1	insure-02	0.2.0.0	0.2.0.0.0	
# ::edge	provide-01	duration	kind	0.2.0.0	0.2.0.0.1	
# ::edge	volunteer-01	ARG1	insure-02	0.2.0.0.0.0	0.2.0.0.0	
(c / cover-03 
      :ARG1 (v / various) 
      :ARG1-of (e / exceed-01) 
      :op-of (a / and 
            :op1 (o / option 
                  :ARG0-of (p / provide-01 
                        :ARG1 (i / insure-02 
                              :ARG1-of (v2 / volunteer-01)) 
                        :duration (k / kind)))))

# ::snt the bicentenary may have had its absurd side and its excesses
# ::tok the bicentenary may have had its absurd side and its excesses
# ::alignments 8-9|0 7-8|0.1 6-7|0.1.0 2-3|0.0.0+0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:51.104
# ::node	0	and	8-9
# ::node	0.0	date-entity	2-3
# ::node	0.0.0	5	2-3
# ::node	0.1	side	7-8
# ::node	0.1.0	absurd	6-7
# ::root	0	and
# ::edge	and	op1	side	0	0.1	
# ::edge	date-entity	domain	and	0.0	0	
# ::edge	date-entity	month	5	0.0	0.0.0	
# ::edge	side	mod	absurd	0.1	0.1.0	
(a / and 
      :domain-of (d / date-entity 
            :month 5) 
      :op1 (s / side 
            :mod (a2 / absurd)))

# ::snt it is analogous to arguing that countries like britain that fought beside the soviet union in the alliance against nazi germany in doing so approved of and furthered the excesses of stalin
# ::tok it is analogous to arguing that countries like britain that fought beside the soviet union in the alliance against nazi germany in doing so approved of and furthered the excesses of stalin
# ::alignments 26-27|0.3 24-25|0 23-24|0.2 22-23|0.3.1.2 19-20|0.3.0.0 17-18|0.1 14-15|0.3.1.1.0 11-12|0.3.1.1 10-11|0.3.1 8-9|0.3.1.0.0.0+0.3.1.0.0+0.3.1.0 6-7|0.0 4-5|0.3.0 0-1|0.3.1.2.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:51.259
# ::node	0	approve-01	24-25
# ::node	0.0	country	6-7
# ::node	0.1	alliance	17-18
# ::node	0.2	so	23-24
# ::node	0.3	and	26-27
# ::node	0.3.0	argue-01	4-5
# ::node	0.3.0.0	nazi	19-20
# ::node	0.3.1	fight-01	10-11
# ::node	0.3.1.0	country	8-9
# ::node	0.3.1.0.0	name	8-9
# ::node	0.3.1.0.0.0	"Britain"	8-9
# ::node	0.3.1.1	beside	11-12
# ::node	0.3.1.1.0	union	14-15
# ::node	0.3.1.2	do-02	22-23
# ::node	0.3.1.2.0	it	0-1
# ::root	0	approve-01
# ::edge	and	op1	approve-01	0.3	0	
# ::edge	approve-01	ARG0	country	0	0.0	
# ::edge	approve-01	ARG1	alliance	0	0.1	
# ::edge	approve-01	manner	so	0	0.2	
# ::edge	argue-01	ARG0	nazi	0.3.0	0.3.0.0	
# ::edge	argue-01	ARG1	and	0.3.0	0.3	
# ::edge	beside	op1	union	0.3.1.1	0.3.1.1.0	
# ::edge	country	name	name	0.3.1.0	0.3.1.0.0	
# ::edge	do-02	ARG1	it	0.3.1.2	0.3.1.2.0	
# ::edge	fight-01	ARG0	country	0.3.1	0.3.1.0	
# ::edge	fight-01	ARG1	and	0.3.1	0.3	
# ::edge	fight-01	ARG2	beside	0.3.1	0.3.1.1	
# ::edge	fight-01	manner	do-02	0.3.1	0.3.1.2	
# ::edge	name	op1	"Britain"	0.3.1.0.0	0.3.1.0.0.0	
(a2 / approve-01 
      :ARG0 (c2 / country) 
      :ARG1 (a3 / alliance) 
      :manner (s / so) 
      :op-of (a / and 
            :ARG1-of (a4 / argue-01 
                  :ARG0 (n / nazi)) 
            :ARG1-of (f / fight-01 
                  :ARG0 (c / country 
                        :name (n2 / name 
                              :op1 "Britain")) 
                  :ARG2 (b / beside 
                        :op1 (u / union)) 
                  :manner (d / do-02 
                        :ARG1 (i / it)))))

# ::snt the notice had been issued because of his failure to display a valid ticket informing him that as a result there was a 15 excess charge to pay
# ::tok the notice had been issued because of his failure to display a valid ticket informing him that as a result there was a 15 excess charge to pay
# ::alignments 27-28|0.0.0.0.1 24-25|0.0.0.0.1.0 23-24|0.0.1 19-20|0 13-14|0.0.2.0 12-13|0.0.2.0.0 10-11|0.0.2 8-9|0.0 5-6|0.0.0 4-5|0.0.0.0 1-2|0.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:51.377
# ::node	0	result-01	19-20
# ::node	0.0	fail-01	8-9
# ::node	0.0.0	cause-01	5-6
# ::node	0.0.0.0	issue-01	4-5
# ::node	0.0.0.0.0	notice	1-2
# ::node	0.0.0.0.1	pay-01	27-28
# ::node	0.0.0.0.1.0	exceed-01	24-25
# ::node	0.0.1	15	23-24
# ::node	0.0.2	display-01	10-11
# ::node	0.0.2.0	ticket	13-14
# ::node	0.0.2.0.0	valid-41	12-13
# ::root	0	result-01
# ::edge	cause-01	ARG0	fail-01	0.0.0	0.0	
# ::edge	cause-01	ARG1	issue-01	0.0.0	0.0.0.0	
# ::edge	display-01	ARG1	ticket	0.0.2	0.0.2.0	
# ::edge	exceed-01	ARG2	pay-01	0.0.0.0.1.0	0.0.0.0.1	
# ::edge	fail-01	ARG1	15	0.0	0.0.1	
# ::edge	fail-01	ARG2	display-01	0.0	0.0.2	
# ::edge	issue-01	ARG1	notice	0.0.0.0	0.0.0.0.0	
# ::edge	pay-01	ARG1	issue-01	0.0.0.0.1	0.0.0.0	
# ::edge	result-01	ARG1	fail-01	0	0.0	
# ::edge	valid-41	ARG1	ticket	0.0.2.0.0	0.0.2.0	
(r / result-01 
      :ARG1 (f / fail-01 
            :ARG0-of (c / cause-01 
                  :ARG1 (i / issue-01 
                        :ARG1 (n / notice) 
                        :ARG1-of (p / pay-01 
                              :ARG2-of (e / exceed-01)))) 
            :ARG1 15 
            :ARG2 (d / display-01 
                  :ARG1 (t / ticket 
                        :ARG1-of (v / valid-41)))))

# ::snt the national figure seems to be the national figure of food poisoning cases this year looks like being in excess of sixty thousand
# ::tok the national figure seems to be the national figure of food poisoning cases this year looks like being in excess of sixty thousand
# ::alignments 19-20|0.1.0 15-16|0.1.0.0 14-15|0.1.0.0.0 13-14|0.1.0.0.0.0 12-13|0.0.0 10-11|0.0 8-9|0.1 7-8|0.1.2 3-4|0 2-3|0.1.1 1-2|0.1.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:51.529
# ::node	0	seem-01	3-4
# ::node	0.0	food	10-11
